key,text
bio_102B01,Khi Tao Thao khoi binh danh Dong Trac thi gia nhap phe ong
bio_102B5D,Ly Nhu
bio_102B65,Khi Dong Trac bi giet thi cung bi xu tu
bio_102BDF,[loi extract]
bio_102BE5,O Mien Truc giao chien voi Hoang Trung ngang tam
bio_102C51,[loi extract]
bio_102C59,Sau trung ke Duong Bieu va Quach Phien chia re
bio_102CC9,Duoc Ha Hau Don gioi thieu nen Tao Thao trong dung
bio_102D65,[loi extract]
bio_102D70,Sau khi Quan Vu bi bat va chet
bio_102DCD,[loi extract]
bio_102DD5,Van xong pha cuu Ton Quyen va Tu Thanh bi vay
bio_102E41,[loi extract]
bio_102E49,Luc Quan Vu nguy cap lai xui Luu Phong khong cuu
bio_102EE5,[loi extract]
bio_102EED,The Gia Cat Luong quyet dinh nam chinh binh dinh
bio_102F65,Cung Manh Dat muu don Luu Bi vao Thuc
bio_102FCB,[loi extract]
bio_102FD1,Cuoi cung bi Truong Phi chem chet
bio_103051,Vi cha bi Cam Ninh ban chet nen thu han sau sac
bio_1030F0,Nhung vi cung chu bac phan doi Tao Thao xung Vuong
bio_10315D,Nen am muu don Luu Bi vao Thuc
bio_103219,Vi the truoc khi chet Ton Sach co di chuc
bio_103295,[loi extract]
bio_10329D,Trong tran Quan Do phan sang phe Tao Thao
bio_103321,[loi extract]
bio_103329,Khi Gia Cat Luong bac phat nha Nguoi
bio_103389,Nhung cuoi cung tin loi Duong Tong ban nuoc cau vinh
bio_1033F9,[loi extract]
bio_103401,Nhung sau cam phuc Tao Thao nen quy thuan
bio_103469,Nho khau tai ba cuon khien Tao Thao bo y dinh do
bio_1034E5,Sau kien tri giu Lac Thanh chong Luu Bi
bio_103551,Ong than danh quan Vien Thieu tai truong
bio_1035FF,[loi extract]
bio_103605,Tu khi Tao Thao khoi binh da theo ong
bio_103699,Xu tu tat ca Tao Sang va nhung nguoi lien quan
bio_1036E1,Bat buoc ong lam tho trong bay buoc
bio_103770,Tu Vien
bio_103775,Trong tran Quan Do dau hang Tao Thao
bio_1037E1,[loi extract]
bio_1037E9,Sau khi Dong Trac chet lien quan Ly Tac danh Truong An
bio_103835,La mot trong nhung mu si noi tieng cua Tao Thao
bio_1038B5,Cung khien quan Vien Thieu thua o Quan Do va diet vong
bio_10394D,[loi extract]
bio_103955,Cam thay ong gian xao lanh lung nen roi bo
bio_1039F1,[loi extract]
bio_103A65,Va nhuong Xu Chau cho Luu Bi quan ly
bio_103AA5,[loi extract]
bio_103AAD,Ban dau khong phuc Chu Du con tre
bio_103B21,[loi extract]
bio_103B29,Thuong lam su gia den Dong Ngo
bio_103B69,Cuoi cung bi Tao Thao ghen tuong ma chem dau
bio_103BEB,[loi extract]
bio_103BF1,Rat hieu ro cach danh tran cua Tao Thao
bio_103C95,Luc Quan Vu bi vay Mai Thanh den Thuong Dung cau vien bi tu choi
bio_103CF9,Khi Luu Bi cung duong tan cung thi cuu giup ong
bio_103D65,Luc dau Luu Bi dinh nhan nuoi ong
bio_103DDD,[loi extract]
bio_103DE5,Nho thi hanh chinh nhan ai
bio_103E20,Luu Chuong
bio_103E25,Cuoi cung vi dan chung ma mo thanh dau hang
bio_103EA1,[loi extract]
bio_103EAC,Cung Thai Muu nam quyen thuc te Kinh Chau
bio_103F19,[loi extract]
bio_103F21,Khong chiu dau hang quy huong bac tu an tu
bio_103F9F,[loi extract]
bio_103FA5,Khi giao chien voi Luu Bi lap nhieu cong lon
bio_103FDF,[loi extract]
bio_103FE5,Nen truoc khi chet K.M.Luong di chuc Tuong Hoan lam thua tuong
bio_10404B,[loi extract]
bio_104051,Khien Tao Thao giet Thai Muu va thuy doc
bio_1040DC,Thai Muu
bio_104181,Gia Cat Can
bio_10418C,Tung nhieu lan lam su gia den Thuc Han
bio_10426D,[loi extract]
bio_104275,Sau khi Luu Bi chet duoc Gia Cat Luong trong dung
bio_1042DD,Thuong cap cho Luu Bi nhieu tien bac
bio_104329,La nguyen lao ba doi cua Dong Ngo
bio_104371,Tung cung Ma Dang tan cong Ly Tac o Truong An
bio_104405,[loi extract]
bio_10440D,Nhung sau bi Quan Vu mot dao giet tren ngua
bio_104489,Vi bao thu cha ma giao chien voi Dong Ngo
bio_1049A1,[loi extract]
bio_1049AB,Khong xam pham lan nhau
bio_1049DA,[loi extract]
bio_1049EA,[loi extract]
bio_1049FA,[loi extract]
bio_104A0A,[loi extract]
bio_104A18,Lien minh dong minh
bio_104A1D,[loi extract]
bio_104B4F,Gioi thieu nhan vat
bio_104B61,[loi extract]
bio_104BD5,Hay chon quan huyen muc tieu do tham
bio_104C1B,[loi extract]
bio_104C82,Hay chon tuong phu trach tim kiem nhan tai
bio_104CAC,Chuyen trang
bio_104D40,Quan ta thieu luong thao
bio_104D71,Du suc chien lau dai voi dich tren nui rung
bio_104DA9,Chi huy van quan tat co sai sot
bio_104DF0,Quan doi khong luyen tap
bio_104E1B,Thanh nay sap giet ngua de an
bio_104E8F,Ban chat khong phai viec than nen ban
bio_104EF7,Neu minh cong cu mot tuong lam thai thu
bio_104F47,Sai lam la goc re lam nuoc lung lay
bio_104F64,Nguoi nay chac khong phu mong doi cua chu cong
bio_104F7B,Neu dung nguoi nay nuoc chac loan
bio_104F9B,Chac tuong si tan tam phuc vu
bio_104FD7,Tien co han tap quan vo dung
city_0FCDA0,Huong Binh
city_0FCDA8,Bac Binh
city_0FCDB8,Tan Duong
city_0FCDC0,Nam Pi
city_0FCDC8,Binh Nguyen
city_0FCDD8,Bac Hai
city_0FCDE0,Phuc Duong
city_0FCDE8,Tran Luu
city_0FCDF0,Lac Duong
city_0FCDF8,Hong Nong
city_0FCE00,Truong An
city_0FCE08,An Dinh
city_0FCE10,Thien Thuy
city_0FCE18,Tay Luong
city_0FCE20,Ha Bi
city_0FCE28,Tu Chau
city_0FCE38,Nhu Nam
city_0FCE48,Tan Da
city_0FCE50,Tuong Duong
city_0FCE58,Thuong Ung
city_0FCE60,Giang Ha
city_0FCE68,Giang Lang
city_0FCE70,Vo Lang
city_0FCE78,Truong Sa
city_0FCE80,Quy Duong
city_0FCE88,Linh Lang
city_0FCE90,Tho Xuan
city_0FCE98,Kien Nghiep
city_0FCEA8,Hoi Ke
city_0FCEB0,Lu Giang
city_0FCEB8,Sai Sang
city_0FCEC0,Han Trung
city_0FCEC8,Ha Ben
city_0FCED0,Tu Dong
city_0FCED8,Thanh Do
city_0FCEE0,Vinh An
city_0FCEE8,Giang Chau
city_0FCEF0,Kien Ninh
city_0FCEF8,Van Nam
city_0FCF00,Nam Hai
city_0FCF08,Di Chau
city_0FCF28,Dong Phong
city_map_110DB8,Huong Binh
city_map_110E40,Bac Binh
city_map_110F50,Tan Duong
city_map_110FD8,Nam Pi
city_map_111060,Binh Nguyen
city_map_111170,Bac Hai
city_map_1111F8,Phuc Duong
city_map_111280,Tran Luu
city_map_111308,Lac Duong
city_map_111390,Hong Nong
city_map_111418,Truong An
city_map_1114A0,An Dinh
city_map_111528,Thien Thuy
city_map_1115B0,Tay Luong
city_map_111638,Ha Bi
city_map_1116C0,Tu Chau
city_map_111748,Hu Xuong
city_map_111858,Nhu Nam
city_map_111968,Tan Da
city_map_1119F0,Tuong Duong
city_map_111A78,Thuong Ung
city_map_111B00,Giang Ha
city_map_111B88,Giang Lang
city_map_111C10,Vo Lang
city_map_111C98,Truong Sa
city_map_111D20,Quy Duong
city_map_111DA8,Linh Lang
city_map_111E30,Tho Xuan
city_map_111EB8,Kien Nghiep
city_map_111FC8,Hoi Ke
city_map_112050,Lu Giang
city_map_1120D8,Sai Sang
city_map_112160,Han Trung
city_map_1121E8,Ha Ben
city_map_112270,Tu Dong
city_map_1122F8,Thanh Do
city_map_112380,Vinh An
city_map_112408,Giang Chau
city_map_112490,Kien Ninh
city_map_112518,Van Nam
city_map_1125A0,Nam Hai
city_map_112628,Di Chau
dialogue_105000,Hay mau chiem dan binh
dialogue_105023,Them tru thue nang va cac khoan dong gop
dialogue_105073,Quan ta se nhan vien tro lien tuc
dialogue_1050A5,La nguyen nhan song chet cua tam quan
dialogue_1050E3,La chia khoa chien thang
dialogue_105101,Dam lam nhu vay
dialogue_105125,UNK
dialogue_1051C8,Hay chon tuong dan quan xuat chinh
dialogue_10528B,So luong lua mang theo
dialogue_1052CC,Hay chon doi van chuyen luong thao
dialogue_1052E8,Hay chi dinh tuong huan luyen quan
dialogue_105300,Hay chi dinh tuong van bu vat tu
dialogue_10531F,Toi da nhieu tuong
dialogue_105368,Hay chon vu khi muon che tao
dialogue_10537F,Tuong chiem binh
dialogue_105393,Tuong thuc hien muu binh
dialogue_1053B0,Hay chon tuong thuc hien the binh
dialogue_1053CB,Chon tuong phan bo lai binh si
dialogue_105418,Khong hieu ly tri tri quoc
dialogue_105493,Sao co binh thua cho don dien
dialogue_1054B7,Sau vai nam duoc tram van ho lua
dialogue_1054EB,Hoa vat kho van xa
dialogue_105519,Chac chan du tru quan nhu
dialogue_10554E,Khong thong chinh su
dialogue_105567,Co the tich tru quan luong lon
dialogue_105593,Dung tien thua sua thanh kho giu
dialogue_1055BF,Ke dich kho long chiem
dialogue_1055F5,Phat tan quan luong cuu dan luu lac
dialogue_10561B,Dan la goc quoc gia
dialogue_105634,Nay minh cong vi mot no gian hai dan chung
dialogue_1056CB,Khoc kho dinh tue va thue cho dan
dialogue_10574B,Luc nay mot ho lua den hang chuc van
dialogue_105789,UNK
dialogue_10579C,Tich luong chuan bi chien la thuong sach
dialogue_1057B1,Ban lua de chuan bi quan tu
dialogue_1057C9,Chi dung vu khi phong thuong
dialogue_1057E1,Kiem tang anh hung
dialogue_1057FE,Luc nay mua nu la khong sang
dialogue_105813,Muon ban xa phai cam nu luyen tap
dialogue_105848,Va muon lam lan nhu
dialogue_10586D,Day la ngua Dai Uyen tot cua Tay Vuc
dialogue_105899,Hay chi dinh tuong khai phat dat
dialogue_1058CD,Tuong phat trien
dialogue_1058E5,Hay chon tuong tri thuy chong hong
dialogue_105904,Hay chi dinh tuong day cung tuong
dialogue_10593D,Hay chi dinh tuong thieu sat cuop pha
dialogue_105987,Dieu chinh thue suat moi la
dialogue_10599D,Hay chon hang hoa muon giao dich
dialogue_1059B8,Hay phai tuong mua lua
dialogue_1059DD,Hay chi dinh tuong mua vu khi tuong
dialogue_1059F9,Hay chi dinh tuong mua nu tien
dialogue_105A11,Hay chi dinh tuong mua ngua
dialogue_105A2C,Loai ke xa lan kho thanh cong
dialogue_105A5F,Thanh su thi khong co tuong manh tro giup
dialogue_105ABF,Chu ta dac mang thu mat den
dialogue_105ADC,Dam do lo do thi tran ta
dialogue_105AFD,UNK
dialogue_105B13,Ke gian muon chia re hai ta
dialogue_105B2D,Ta quyet khong lam viec bat nghia nay
dialogue_105B8C,Chu cong dung mot thu khich dong ho
dialogue_105BE2,Quan than dong long
dialogue_105C17,Ngai co quan chung ngan dam
dialogue_105C53,Ai theo ta o day
dialogue_105C87,Sao lam viec phan chu
dialogue_105CA9,Tieu ky nay chac bi phat hien
dialogue_105CDD,Ke nay se khien ke tu giet nhau
dialogue_105D0F,Neu thay cho yeu tren thu
dialogue_105DC5,Rat hay
dialogue_105DD3,Sao xoa lam roi het
dialogue_105DE9,UNK
dialogue_105E01,Chac la ngai so ta biet chi tiet
dialogue_105E55,Tieu ky muon lua ta
dialogue_105E70,Du tri da muu
dialogue_105E87,Tru di mot dai hoan trong long
dialogue_105EB7,Nay mao hiem mang den bao cho tuong
dialogue_105EF5,Phan tac vo le the
dialogue_105F09,Den truoc trai
dialogue_105F20,Ta muon ngai lam tien phong
dialogue_105F31,Chua luyen thuan thuc
dialogue_105F4D,Neu quan ho luyen thuan
dialogue_105F7B,Ta sao trung ke
dialogue_105FD0,Minh cong khong can lo
dialogue_106001,Ke nay kho thanh cong
dialogue_10601F,Co the nhan co pha tuong thanh
dialogue_106041,Ke kho nhu khong lua duoc ong
dialogue_10606D,Can mot nguoi lam gia hang cho ta
dialogue_10609D,Hon la hang de van toan
dialogue_1060ED,Ngai noi loi nay
dialogue_10612B,Nhung bat loi cho quan
dialogue_10615B,Khong xet mat quan vien
dialogue_10619D,Cung la tuong lon mot phuong
dialogue_1061F4,Ta tu thuo doc binh thu
dialogue_106213,Nhu tre con mong cha me
dialogue_10623B,Neu ngai lap dai cong
dialogue_106283,Dam treu choc ta
dialogue_1062BB,Co dong gi cung bi ong biet
dialogue_1062FD,Day la ke phu do chou thao
dialogue_106339,Chac khong phuc vu minh cong
dialogue_10635B,Mang mot tuong lam su
dialogue_106387,Tuong khong binh an
dialogue_106399,Nen khong dung tuong gioi quyet tu chien
dialogue_10645F,Theo loi ngai
dialogue_10646B,Khong the bo roi
dialogue_106483,UNK
dialogue_10649D,Chi can mot thu ket noi noi ung
dialogue_1064DD,Nay la than phan phan tac
dialogue_106537,Minh cong neu co hanh dong
dialogue_106567,Bi van dai nhuc nha
dialogue_10659B,Di nay chac khong thanh
dialogue_1065C1,Thay mot sao tuong sap roi
dialogue_1065F5,UNK
dialogue_106603,Ban cung o day
dialogue_10661B,Chung ta theo lenh chu den lay mang ngai
dialogue_106647,Sao gia mao binh linh o day
dialogue_106685,UNK
dialogue_1066BE,UNK
dialogue_1066E8,So binh si
dialogue_106706,UNK
dialogue_10671C,Trang thai
dialogue_106799,Ten tai da
dialogue_1067A1,So quan chu
dialogue_106814,Bo cuoc
dialogue_10681A,Quyet dinh
dialogue_10686E,Loai bao vat
dialogue_106895,Chua lien minh
dialogue_1068A1,Lien minh cong thu
dialogue_1068C3,Nguoi quan ly
dialogue_1068FB,Chon hai quoc gia thuc hien
dialogue_10691A,Hay chon hai tuong lam mat su
dialogue_1069ED,Quan huyen khu ho ton lang
dialogue_106A0D,Hay chon tuong thuc hien ke nay
dialogue_106BA0,Hay chon tuong lam su thuc hien ke
dialogue_106BCC,Gui thu gia den
dialogue_106C1C,Hay chon quan huyen giet nguoi dao
dialogue_106CEB,Quan huyen hon nuoc mo ca
dialogue_106D09,Thuc hien ke hon nuoc mo ca
dialogue_106D4B,Hay chon quan huyen pha tuong
dialogue_106DA9,Hay chon quan huyen ke kho nhu
dialogue_106DC7,Tuong
dialogue_106DCF,Thuc hien ke kho nhu
dialogue_106E0C,Hay chon quan huyen dot luong
dialogue_106E4F,Thuc hien ke dot luong
dialogue_106E6D,Quan huyen du do hang
dialogue_106E8A,Hay chon tuong muc tieu du do
dialogue_106EA6,Hay chon tuong mat su thuc hien ke
dialogue_106EEC,Du do hang thanh cong
dialogue_106F05,Quan huyen ce phan
dialogue_106F21,Tuong muc tieu ce phan
dialogue_106F3D,Tuong mat su thuc hien ke
dialogue_106F84,Ce phan thanh cong
dialogue_106F9D,Quan huyen am sat
dialogue_106FB9,Tuong muc tieu am sat
dialogue_10700C,Thuc hien am sat
dialogue_1070D8,Quan huyen do may quan ly
dialogue_107100,Nguoi nay khong tham tien
dialogue_10711F,Nguoi nay chac se di
dialogue_107135,Chu ta mang ngan vang tang tuong
dialogue_10716D,Ta xin ra suc chon ngua
dialogue_1071B0,Nguoi nay nhu Lieu Ha Hue tai the
dialogue_1071D3,Dang mot my nhan de thu long
dialogue_107213,Tren thien ha khong anh hung khac
dialogue_107253,Chu ta muon giao nu nay lam thi
dialogue_107289,Ta se bao on nhu cho ngua
dialogue_1072A7,Nhung lo danh ti khong lap
dialogue_1072D1,Ngai muon dung mot con ngua du do
dialogue_1072F5,Ngai muon chiem thien ha
dialogue_107311,Nay co ngua tot mot con
dialogue_107365,Se bao on the nao
dialogue_107381,Sao hom nay o duoi ke nhu
dialogue_1073D8,Han khong gap chu
dialogue_1073E7,Chim tot chon cay ma dau
dialogue_10744B,Nhu mia kho gap mua
dialogue_10748B,Chac khong bi lay chuyen
dialogue_1074A5,Chac noi duoc
dialogue_1074C1,Xin tang minh cong
dialogue_1074E7,Ta sao khong het suc phuc vu
dialogue_107533,Von noi tieng co doc
dialogue_107560,Minh cong nen tu den moi
dialogue_1075A3,Ngai la nguoi trung nghia
dialogue_107600,Mong ong mo dau va cuu nan
dialogue_107665,Mong ong vi dan chung thien ha
dialogue_1076B5,Han chua gap anh hung
dialogue_1076D5,Tuong sao bo ngoc tim da
dialogue_10770F,Chung khan co y kien gi
dialogue_10772D,UNK
dialogue_10774B,Day la dao thang binh gia
dialogue_1077F9,Thu hai la pha giao
dialogue_107825,Nen quan khong dinh ma loi toan
dialogue_107891,Khong biet ke ma biet minh
dialogue_1078DB,Nen tu bao toan ma thang het
dialogue_10794D,Quan thang tien chien sau moi danh
dialogue_10799F,Quoc gia ma lam vui
dialogue_1079C1,UNK
dialogue_1079FD,Nay thoi tiet mua thu mat
dialogue_107A4E,Mong quan thu nuoi quan
dialogue_107A91,Nay ke dich co khe ha
dialogue_107ABB,Nay neu tien quan gap
dialogue_107B05,Quan ta la doi quan luyen tap
dialogue_107B57,Hon nua quan muon hy sinh
dialogue_107BF3,Nay chi nen tu bin nghi vu
dialogue_107C4D,Day la ke bao quoc
dialogue_107C93,Tuong van muon lam cuong
dialogue_107CED,Neu khong xet thoi ma tien
dialogue_107D43,Ngai nen tu duc an dan
dialogue_107D93,Hom nay tuong lai muon xuat quan
dialogue_107DE1,Minh cong vi mot no ma dong quan
dialogue_107E3D,Tuong khong nen gian ma chien
dialogue_107E99,Ben chau de quan nhieu thi khong du
dialogue_107F71,Nay lai dong binh lam loan dan
dialogue_107FE0,Cho co khe moi hanh dong
dialogue_108017,Ta muon on dinh lanh tho truoc
dialogue_10804B,So dan loan khoi day
dialogue_108079,Nen van luong du phong
dialogue_1080AF,Nhung luong thao khong du
dialogue_1080EB,Cho binh linh tan ra dong trai
dialogue_108135,Ngai nghia duc den bon phuong
dialogue_108177,Day la uy luc chu cong
dialogue_1081B5,Bon chau kho luong day lua
dialogue_1081E7,Tu than gia quoc tri binh thien ha
dialogue_108228,Chung ta de la ke ngu don
dialogue_108253,Khong co loi hay de dang chu cong
dialogue_108285,Khong phai ke vo muu biet
dialogue_1082B8,Chung khan trinh bay y kien
dialogue_1082EF,Luu Bi la anh hung
dialogue_108311,Sao phai tri hoan
dialogue_108347,Sau se chet tay tieu nhan
dialogue_10838D,Dien Phong cung ma pham thuong
dialogue_108437,Cong Lo nhu xuong trong mo
dialogue_108453,Lu Bo nhu cho soi
dialogue_10847F,Chu cong neu khong thua de diet
dialogue_1084DC,Danh tac Han phu vuong that
dialogue_10850F,So mat nghia voi thien ha
dialogue_10853B,Hang ngay luyen binh
dialogue_10857D,Chu cong khoi nghia an thien ha
dialogue_1085B7,Cac ngai tri hoan quan tam
dialogue_1085F6,Cho luc long day du
dialogue_108627,Huyen Duc von noi tieng anh hung
dialogue_1086B7,Khac voi ke bi quan truoc
dialogue_108721,Chac bo luong cuong ngua don vuong
dialogue_1087A5,Ton Sach o Giang Dong theo song
dialogue_1087F9,Nay nhu ho chiem Ky Chau
dialogue_108849,Lam ke dich bat loi
dialogue_1088B3,Lai co vien tuong Cuong
dialogue_1088DB,Hon nua co quan Cuong
dialogue_108905,Nguoi Kinh Chau goi mot trong Bat Tuan
dialogue_108963,Khong phai ke tham loi bo nghia
dialogue_1089B3,Khong the dong quan lon lai
dialogue_108A17,Moi co the tien quan dai
dialogue_108A3F,Khong the khe dich
dialogue_108A63,Nhu ho them can
dialogue_108A8D,Ngai dung binh gioi
dialogue_108AB9,Khong the chien
dialogue_108AD9,Hon la cau hoa an dan
dialogue_108B15,Ke vo dung
dialogue_108B30,Hon nua tri chinh nhan la goc
dialogue_108B5D,Thong binh phap
dialogue_108B95,Ta biet ong thuong bat man
dialogue_108BD7,Khong cho doc chuoc quyen
dialogue_108BF9,Sao khong moi den
dialogue_108C19,Tron loan an minh o day
dialogue_108C50,Tuong ta deu ve chu cong
dialogue_108C73,Chac hy sinh bao on tri ngai
dialogue_108CA4,Xong dau rot mau khong lui
dialogue_108CDD,Anh tai thien ha ve chu cong
dialogue_108D27,Neu lam le tam cung tim tai
dialogue_108D60,Dong que khong tai dung
dialogue_108D89,Chu cong nen xet nhan dung tai
dialogue_108DC1,Chu cong thuong phat ro
dialogue_108DE3,Thuong hu thi quan oan
dialogue_108E03,La phap dien thien cu ac
dialogue_108E3B,Hy sinh tan toan
dialogue_108E57,Khong vi mot nu ma hy sinh
dialogue_108E7D,La tam phuc tuong manh chu cong
dialogue_108EDA,Van tang ngua quy
dialogue_108F15,Chu cong sao tang bao vat
dialogue_108F3B,Dung si biet hy sinh vi gi
dialogue_108F5B,Giao cong chua cho nguoi nay
dialogue_108F88,La anh tuong thoi dai
dialogue_108FC1,Nguoi nay chac sinh long phan
dialogue_108FDD,La minh chau nem toi
dialogue_10900B,La tai an bang dinh quoc
dialogue_10902F,Minh cong neu truc xuat
dialogue_109061,UNK
dialogue_10908B,Hon nua viec chua ro
dialogue_1090B9,UNK
dialogue_1090E5,Neu khong diet tan goc
dialogue_109108,Hom nay khong giet tac
dialogue_109121,Giu ngai lam gi
dialogue_109143,UNK
dialogue_109165,Cach trieu chieu
dialogue_10918F,Quan huyen trieu chieu tuong
dialogue_1091AC,Khong tuong tai da
dialogue_1091BF,Tuong trieu chieu
dialogue_1091D5,UNK
dialogue_1091EF,Hay nhap so vang tang
dialogue_1092AA,Quyet khong phuc vu
dialogue_1092CC,Trieu chieu that bai
dialogue_109317,Dung sac du do
dialogue_1093B4,Trong quan khong co ma quy
dialogue_109474,Chu cong khong co bao vat
dialogue_10948F,Hay chon bao vat tang
dialogue_10958C,Khong tuong hop de trieu
dialogue_1095BC,Thuyet phuc bang dai nghia
dialogue_109650,Hay chon quan thay quan chuc
dialogue_109668,Hay chon tuong thay quan chuc
dialogue_109684,Hay chon quan chuc muon thay
dialogue_1096D8,Tong tuong chua du sau nguoi
dialogue_109704,Hay chon chu de hoi nghi
dialogue_10971D,UNK
dialogue_109738,Ke nay khong thuc hien duoc
dialogue_10978D,UNK
dialogue_109796,Hay chon quoc gia thao luan
dialogue_10989C,Hay chon quan huyen thuong tuong
dialogue_1098CE,Hay nhap so vang thuong
dialogue_1099E0,Chu cong khong con cong chua
dialogue_109A1A,Hay chon tuong cuoi cong chua
dialogue_109A37,Giao cong chua cho
dialogue_109A54,Hay chon cach xu phat
dialogue_109A67,Hay chon quan huyen xu tuong
dialogue_109A9D,Hay chon bao vat tru
dialogue_109AF0,Hay chon quan huyen truc xuat
dialogue_109B0C,Hay chon tuong truc xuat
dialogue_109B32,Quan huyen truc dau tuong
dialogue_109B4D,UNK
dialogue_109B80,Da bi truc dau thi chung
dialogue_109BC4,La ca trong dao ta
dialogue_109BFB,Hai nuoc hop thi co loi
dialogue_109C5F,May man khong lam mat mang
dialogue_109C74,Am muu ta rat gan
dialogue_109C8B,Tin nghia noi tieng chu hau
dialogue_109CD7,Minh cong nen tan cong gap
dialogue_109CF9,La uy luc chu cong
dialogue_109D11,Loai bo tin nghia
dialogue_109D31,Thieu mot nguoi bien thien
dialogue_109D7B,Khong thuyet phuc duoc
dialogue_109D95,Mang mot tuong dan quan tro
dialogue_109DAF,Thay nuoc lang co nan
dialogue_109DD5,Nuoc ta tich o lau
dialogue_109E0D,Giup vang va luong
dialogue_109E21,Khong muon cho luong
dialogue_109E37,Mang tuong dan quan pha la thuong
dialogue_109E75,Chu hau khong dam nhin ta
dialogue_109EA4,Vui ve chap nhan
dialogue_109EB1,Chu cong sao khong danh
dialogue_109EDD,Can gi cho luong ke
dialogue_109F0D,Hon la dung ke nhuu nhu
dialogue_109F62,Chon ngay hoi le
dialogue_109F7B,Khong xung mong chu cong
dialogue_109F93,Hon la dung phap nhuu nhu
dialogue_109FC7,Nay nhu chim bi ban
dialogue_109FF9,Qua nhu mong muon
dialogue_10A011,UNK
dialogue_10A047,Tot cua tot
dialogue_10A065,De cuu mang dan mot quan
dialogue_10A0A1,Hai quan chi gap tren chien truong
dialogue_10A0CF,Quyet khong hoa
dialogue_10A0E7,Nen gia lenh Thien tu
dialogue_10A13B,Lien hai ben ngung chien
dialogue_10A167,Khong nghe khuyen
dialogue_10A183,Bo mot ke vo muu
dialogue_10A1C9,Tra ve nuoc ta
dialogue_10A1DF,Khong the chuoc
dialogue_10A201,Quoc gia lien minh
dialogue_10A219,Tuong lam su
dialogue_10A238,Hay nhap thoi han lien minh
dialogue_10A311,UNK
dialogue_10A35C,Hay chon quan huyen hop tan
dialogue_10A3E0,Hay chon vat tu vien tro
dialogue_10A3F8,Hay nhap vien tro
dialogue_10A4C4,Hay chon quoc gia lien hon
dialogue_10A587,Quoc gia tien cong
dialogue_10A5A0,Hay chon vat tu tien cong
dialogue_10A611,UNK
dialogue_10A67C,Hay chon quoc gia ep buoc
dialogue_10A691,Vat tu yeu cau
dialogue_10A6AB,Ep yeu cau
dialogue_10A7E0,Hay chon quoc gia hang phuc
dialogue_10A8E5,UNK
dialogue_10A9B8,Uy tin quoc gia ton hai
dialogue_10A9D4,Hay chon quoc gia trao tu
dialogue_10AA0C,Hay chon tuong tu bin tra
dialogue_10AA27,Hay chon dieu kien trao doi
dialogue_10AA5D,Tuong tu bin dich tra
dialogue_10AA7D,UNK
dialogue_10AB84,Co quyet che tao khong
dialogue_10AC15,Co quyet thuc hien khong
dialogue_10AC3E,Kho luong trong rong
dialogue_10AD37,Hay chon vu khi muon mua
dialogue_10ADE8,Khong du vang mua nu tien
dialogue_10AE5C,Khong du vang mua ngua
dialogue_10AE8C,Khong con thanh nien tot
dialogue_10AEF0,tan binh
dialogue_10AF10,Co quyet chiem binh khong
dialogue_10AF2D,UNK
dialogue_10AF9A,Chiem binh
dialogue_10AFBC,Co quyet muu binh khong
dialogue_10B025,Ngua
dialogue_10B03C,Nu binh
dialogue_10B046,Lien nu
dialogue_10B052,Hay chon loai binh tai bien
dialogue_10B06C,Hay nhap so binh tai bien
